video_id,start_time,end_time,filename,phrase,word_boundaries
zA8_hWE9Qrs,241.246,244.086,zA8_hWE9Qrs_241.246000-244.086000/00000,for your own education the other thing,"[['for', 0, 3], ['your', 3, 7], ['own', 9, 12], ['education', 16, 32], ['the', 32, 64], ['other', 64, 67], ['thing', 68, 71]]"
Fnl7SI2KlbM,115.04,117.92,Fnl7SI2KlbM_115.040000-117.920000/00001,many years ago now hes retired and has,"[['many', 0, 7], ['years', 8, 13], ['ago', 15, 20], ['now', 36, 40], ['hes', 41, 45], ['retired', 46, 57], ['and', 65, 67], ['has', 68, 72]]"
YhK7opcG6ao,53.558333,56.558333,YhK7opcG6ao_53.558333-56.558333/00000,be as scientists begin to work more with lawyers,"[['be', 0, 7], ['as', 15, 17], ['scientists', 20, 35], ['begin', 36, 42], ['to', 44, 46], ['work', 47, 53], ['more', 55, 59], ['with', 60, 64], ['lawyers', 65, 75]]"
uzgdaJCf0Mk,231.366933,234.326933,uzgdaJCf0Mk_231.366933-234.326933/00000,air well the key is that theres no,"[['air', 0, 4], ['well', 30, 34], ['the', 35, 37], ['key', 40, 48], ['is', 51, 54], ['that', 55, 57], ['theres', 58, 64], ['no', 68, 74]]"
Dt-8Io0i_F4,232.509,235.509,Dt-8Io0i_F4_232.509000-235.509000/00001,investor and frankly its the one lesson that i always,"[['investor', 0, 12], ['and', 27, 29], ['frankly', 30, 38], ['its', 39, 42], ['the', 43, 45], ['one', 48, 51], ['lesson', 53, 61], ['that', 62, 67], ['i', 67, 68], ['always', 69, 75]]"
q1uvlXzRr-M,212.2,215.04,q1uvlXzRr-M_212.200000-215.040000/00000,change that begins with children children of this,"[['change', 0, 9], ['that', 15, 19], ['begins', 19, 28], ['with', 30, 33], ['children', 35, 45], ['children', 55, 64], ['of', 65, 66], ['this', 67, 71]]"
QROlnWn5ppM,257.297,260.297,QROlnWn5ppM_257.297000-260.297000/00000,flashcards build those flashcards and focus,"[['flashcards', 0, 19], ['build', 35, 39], ['those', 40, 43], ['flashcards', 44, 58], ['and', 60, 63], ['focus', 66, 75]]"
nT40EZ5ZUD0,93.223267,96.183267,nT40EZ5ZUD0_93.223267-96.183267/00000,to time we get this feeling that comes over,"[['to', 0, 1], ['time', 3, 9], ['we', 16, 19], ['get', 19, 22], ['this', 23, 26], ['feeling', 29, 41], ['that', 57, 60], ['comes', 61, 66], ['over', 70, 74]]"
fpRCOvboF6Q,200.5592,203.5592,fpRCOvboF6Q_200.559200-203.559200/00000,cenotaph its a monument erected to honor the seminole,"[['cenotaph', 0, 14], ['its', 18, 21], ['a', 23, 23], ['monument', 25, 37], ['erected', 39, 49], ['to', 50, 52], ['honor', 53, 60], ['the', 61, 64], ['seminole', 65, 75]]"
zuC2WzMLzzs,202.8,205.76,zuC2WzMLzzs_202.800000-205.760000/00000,of new technological surprise we go,"[['of', 0, 2], ['new', 8, 12], ['technological', 14, 35], ['surprise', 37, 52], ['we', 63, 69], ['go', 70, 74]]"
