video_id,start_time,end_time,filename,num_frames,phrase,target_word,target_word_boundary,word_boundaries,stress_label,lighting,speaker_pose
qzh74d1f4fE,143.51,146.23,qzh74d1f4fE_143.510000-146.230000/00000,70,walk like bass players like take a walk,walk,"['walk', 60, 67]","[['walk', 0, 8], ['like', 9, 13], ['bass', 14, 19], ['players', 20, 26], ['like', 28, 33], ['take', 50, 55], ['a', 56, 57], ['walk', 60, 67]]",1,medium,frontal
e1XHLH1Fw3E,230.514433,233.794433,e1XHLH1Fw3E_230.514433-233.794433/00000,84,of the woodworks the experts who either thought,experts,"['experts', 34, 47]","[['of', 0, 1], ['the', 2, 3], ['woodworks', 4, 16], ['the', 28, 30], ['experts', 34, 47], ['who', 68, 70], ['either', 72, 77], ['thought', 77, 81]]",0,medium,frontal
oXec4X4meHs,197.87,199.59,oXec4X4meHs_197.870000-199.590000/00000,45,it looks for the two strongest cores,strongest,"['strongest', 22, 31]","[['it', 4, 5], ['looks', 6, 10], ['for', 11, 14], ['the', 14, 16], ['two', 17, 21], ['strongest', 22, 31], ['cores', 32, 37]]",0,medium,frontal
F7xjC_rV5dQ,254.72,258.72,F7xjC_rV5dQ_254.720000-258.720000/00000,101,so we should be able to retransform our energy,retransform,"['retransform', 45, 76]","[['so', 0, 4], ['we', 7, 15], ['should', 24, 28], ['be', 29, 31], ['able', 33, 37], ['to', 38, 40], ['retransform', 45, 76], ['our', 86, 89], ['energy', 91, 99]]",1,medium,frontal
txUwQHpJOHc,10.94,13.56,txUwQHpJOHc_10.940000-13.560000/00001,64,hello my dear friend welcome to chillingo painting course,hello,"['hello', 0, 7]","[['hello', 0, 7], ['my', 8, 10], ['dear', 11, 15], ['friend', 16, 22], ['welcome', 25, 35], ['to', 35, 38], ['chillingo', 38, 49], ['painting', 50, 56], ['course', 57, 63]]",0,medium,frontal
dknVbAs-1Jc,169.393333,173.273333,dknVbAs-1Jc_169.393333-173.273333/00000,100,horizontally under their cupboards so just from standing in the kitchen,horizontally,"['horizontally', 0, 18]","[['horizontally', 0, 18], ['under', 21, 26], ['their', 27, 31], ['cupboards', 31, 41], ['so', 54, 58], ['just', 59, 63], ['from', 64, 70], ['standing', 79, 86], ['in', 87, 89], ['the', 89, 91], ['kitchen', 91, 98]]",0,medium,non-frontal
fSsCXnsYKRI,202.188967,205.268967,fSsCXnsYKRI_202.188967-205.268967/00000,79,if youre talking to them and implementing some receptive communication,youre,"['youre', 2, 6]","[['if', 0, 1], ['youre', 2, 6], ['talking', 7, 18], ['to', 19, 21], ['them', 22, 26], ['and', 27, 29], ['implementing', 30, 43], ['some', 44, 47], ['receptive', 49, 60], ['communication', 61, 76]]",0,bright,frontal
8cdUYkAaU9I,256.162,259.402,8cdUYkAaU9I_256.162000-259.402000/00000,83,the rainbow connection the lovers the dreamers,rainbow,"['rainbow', 3, 11]","[['the', 0, 2], ['rainbow', 3, 11], ['connection', 12, 27], ['the', 33, 35], ['lovers', 36, 46], ['the', 50, 52], ['dreamers', 53, 63]]",0,medium,frontal
Y4dojl8Qt7Q,297.559733,299.919733,Y4dojl8Qt7Q_297.559733-299.919733/00000,61,and depending on the height of your baby,height,"['height', 20, 27]","[['and', 0, 1], ['depending', 2, 9], ['on', 12, 15], ['the', 16, 18], ['height', 20, 27], ['of', 29, 30], ['your', 31, 35], ['baby', 36, 41]]",1,medium,frontal
-HJpvbrr2SA,101.927767,103.847767,-HJpvbrr2SA_101.927767-103.847767/00000,51,that its accountability that causes both of,accountability,"['accountability', 7, 21]","[['that', 0, 3], ['its', 3, 6], ['accountability', 7, 21], ['that', 21, 24], ['causes', 25, 35], ['both', 38, 45], ['of', 46, 47]]",0,medium,frontal
